Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/trainers/2206/pokemon/,1,0,7977.636000000019,7977.636000000019,7977.636000000019,7977.636000000019,86.0,0.0017218351296630868,0.0,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
POST,/trainers/2207/pokemon/,1,0,8291.77199999998,8291.77199999998,8291.77199999998,8291.77199999998,86.0,0.0017218351296630868,0.0,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300,8300
POST,/trainers/2208/pokemon/,1,1,8215.277700000002,8215.277700000002,8215.277700000002,8215.277700000002,21.0,0.0017218351296630868,0.0017218351296630868,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
POST,/trainers/2209/pokemon/,1,0,2823.579300000006,2823.579300000006,2823.579300000006,2823.579300000006,86.0,0.0017218351296630868,0.0,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
POST,/trainers/2210/pokemon/,1,0,865.696000000014,865.696000000014,865.696000000014,865.696000000014,86.0,0.0017218351296630868,0.0,870,870,870,870,870,870,870,870,870,870,870
POST,/trainers/2211/pokemon/,1,1,8832.6773,8832.6773,8832.6773,8832.6773,21.0,0.0017218351296630868,0.0017218351296630868,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800,8800
POST,/trainers/2212/pokemon/,1,0,2099.1000000000213,2099.1000000000213,2099.1000000000213,2099.1000000000213,86.0,0.0017218351296630868,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
POST,/trainers/2213/pokemon/,1,1,7872.925599999973,7872.925599999973,7872.925599999973,7872.925599999973,21.0,0.0017218351296630868,0.0017218351296630868,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900,7900
POST,/trainers/2214/pokemon/,1,0,1645.6232999999543,1645.6232999999543,1645.6232999999543,1645.6232999999543,86.0,0.0017218351296630868,0.0,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
POST,/trainers/2215/pokemon/,1,0,3749.687999999992,3749.687999999992,3749.687999999992,3749.687999999992,86.0,0.0017218351296630868,0.0,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700,3700
POST,/trainers/2216/pokemon/,1,0,2179.2024000000083,2179.2024000000083,2179.2024000000083,2179.2024000000083,86.0,0.0017218351296630868,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
